w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,fc,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,19.10,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,19.10,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,19.10,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,19.10,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,25.46,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,25.46,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,25.46,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,26.10,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,26.10,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,25.46,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,16.55,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,15.28,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,15.28,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,15.92,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,15.92,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,16.55,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,19.10,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,19.10,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,19.10,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,19.10,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,19.10,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,21.01,,,,
